,comment,Labeling,clean_text
154,Hadeh masih konsep.,negatif,hadeh masih konsep
155,"Mirip muka ikan lohan, mantap ini. Serasa melihat ikan purba.",positif,mirip muka ikan lohan mantap ini serasa melihat ikan purba
156,Inilah kenapa Suzuki dan Honda terpaksa stop produksinya di Thailand yg lagi demam EV. Merk lain udah banyak yg jualan EV ini masih pamerin konsep EV.,negatif,inilah kenapa suzuki dan honda terpaksa stop produksinya di thailand yg lagi demam ev merk lain udah banyak yg jualan ev ini masih pamerin konsep ev
157,wow interior nya keren. 400jt deh biar aku bisa beli :hand-pink-waving:,positif,wow interior nya keren 400jt deh biar aku bisa beli handpinkwaving
158,paling klo final produknya full chrome lagi ala prindavan...oh nehii..,negatif,paling klo final produknya full chrome lagi ala prindavanoh nehii
159,mnding jdiin bensin aja. blom cocok ev,negatif,mnding jdiin bensin aja blom cocok ev
160,"Yang lain udah jualan ini masih pamer konsep 😂 oiya ini kan pameran, ya bener pamer aja gak jualan 😊",negatif,yang lain udah jualan ini masih pamer konsep  oiya ini kan pameran ya bener pamer aja gak jualan 
161,"suzuki asli jepang sih bagus. tapi suzuki itu kek lebih menghargai negara yang akan dia produksi massal.
dalam artian lebih ke UKM di negara lokal ( bukan build Japan).


mirip kek malaysia lah.
apapun merek kendaraan masuk wilayah malaysia harus ganti namanya PERODUA.
alhasil akan banyak rombakan modifikasi yang tentunya berbeda dengan produksi dari kendaraan luar yang kita ketahui secara garis besar. Makanya xenia-avanza di malaysia koq lebih berkarakter dibanding dengan indonesia.


lucunya lagi karena cost kirim kendaraan dari jepang mungkin mahal ke indonesia, maka di kirim dari india yang selera india banget ke indonesia guna mengurangi biaya pengiriman part2 kendaraan dari jepang.
Seperti Suzuki esspreso yang kek gak selera banget untuk indonesia. Tapi koq suzuki tetap pede aja ya ?heran.


ya semoga bisa lebih mengerti selera indonesia aja sih.
sama perbanyakin dong bengkel suzuki khususnya motor. kami dari bogor kesulitan servis resmi motornya. Mana yang servis umum katanya ahli eh malah main tarik kabel temperatur mesin.",positif,suzuki asli jepang sih bagus tapi suzuki itu kek lebih menghargai negara yang akan dia produksi massaldalam artian lebih ke ukm di negara lokal  bukan build japanmirip kek malaysia lahapapun merek kendaraan masuk wilayah malaysia harus ganti namanya peroduaalhasil akan banyak rombakan modifikasi yang tentunya berbeda dengan produksi dari kendaraan luar yang kita ketahui secara garis besar makanya xeniaavanza di malaysia koq lebih berkarakter dibanding dengan indonesialucunya lagi karena cost kirim kendaraan dari jepang mungkin mahal ke indonesia maka di kirim dari india yang selera india banget ke indonesia guna mengurangi biaya pengiriman part2 kendaraan dari jepangseperti suzuki esspreso yang kek gak selera banget untuk indonesia tapi koq suzuki tetap pede aja ya heranya semoga bisa lebih mengerti selera indonesia aja sihsama perbanyakin dong bengkel suzuki khususnya motor kami dari bogor kesulitan servis resmi motornya mana yang servis umum katanya ahli eh malah main tarik kabel temperatur mesin
162,"Ku suka mobil Suzuki EV, keren..",positif,ku suka mobil suzuki ev keren
163,tumben banget mobil konsep boleh dipegang + bisa liat dalamnya,positif,tumben banget mobil konsep boleh dipegang  bisa liat dalamnya
164,masih konsep bae smpe nnt suzukiny kbru bangkrut 😔,negatif,masih konsep bae smpe nnt suzukiny kbru bangkrut 
165,Dalam sejarahnya mobil konsep suzuki selalu jauh dari yg dijual...,negatif,dalam sejarahnya mobil konsep suzuki selalu jauh dari yg dijual
166,Keren coooo,positif,keren coooo
167,mitsubishi xforce electric,netral,mitsubishi xforce electric
168,NGIMPI 😊😊😊,netral,ngimpi 
169,Mksdnya ngimpi gmn nih  @djinggo2296  ? Lu ngimpi basah?🤣🤣🤣,netral,mksdnya ngimpi gmn nih djinggo2296  lu ngimpi basah
170,"wkwk stuju, kyknya anak2 gua jg anteng sih kalo dibawa pake ini bisa liat keatas mulu hehe",positif,wkwk stuju kyknya anak2 gua jg anteng sih kalo dibawa pake ini bisa liat keatas mulu hehe
171,Goodlah fast Charging...,positif,goodlah fast charging
172,"jangan lupa interior nya kak, stylish dan mevvah banget itu",positif,jangan lupa interior nya kak stylish dan mevvah banget itu
173,"Mudah2an, soalnya mobil listrik pasti Mahal",positif,mudah2an soalnya mobil listrik pasti mahal
174,Dari Panjangnya Bakal Lawan Hyundai Kona Yg lama terus ada Honda EN1 aka HRV EV terus ada MG ZS EV ada lagi BYD ATTO 3 dan Omoda 5eV,netral,dari panjangnya bakal lawan hyundai kona yg lama terus ada honda en1 aka hrv ev terus ada mg zs ev ada lagi byd atto 3 dan omoda 5ev
175,Paling lawannya jetli,netral,paling lawannya jetli
176, @muhammadadityabudiman8036  eh kan kona yang baru udah keluar kan,netral,muhammadadityabudiman8036 eh kan kona yang baru udah keluar kan
177,"Yang laen dah jual 11.000 unit baru mau keluarin 2025 😅😅 emang kocak lu Suzuki.. Bukan pelopor tapi cuma ekor... 
Pantes motor lu ga begitu laku, selain cuma pengekor tapi model nya kocak bukan selera kebanyakan orang Indonesia.. Orang mah minimal riset.. Yang paling laku di Indonesia apa jiplak aja dlu..",negatif,yang laen dah jual 11000 unit baru mau keluarin 2025  emang kocak lu suzuki bukan pelopor tapi cuma ekor pantes motor lu ga begitu laku selain cuma pengekor tapi model nya kocak bukan selera kebanyakan orang indonesia orang mah minimal riset yang paling laku di indonesia apa jiplak aja dlu
178,Mobil suzuki rangka kerupuk yang tidak aman yang mengancam nyawa keluarga anda.,negatif,mobil suzuki rangka kerupuk yang tidak aman yang mengancam nyawa keluarga anda
179,Logo S  nya terkesan jadul,negatif,logo s  nya terkesan jadul
180,Yah masih konsep. Jauh ketinggalan sama mobil China saat ini.,negatif,yah masih konsep jauh ketinggalan sama mobil china saat ini
181,"Suzuki Japan memang oke, siap gilas ev yg lain. Suzuki bisa paling murah dibanding semua EV. Apalagi jika sudah muncul versi  EV LCGC.....mantab...",positif,suzuki japan memang oke siap gilas ev yg lain suzuki bisa paling murah dibanding semua ev apalagi jika sudah muncul versi  ev lcgcmantab
182,cukup menghalangi pandangan layarnya....,negatif,cukup menghalangi pandangan layarnya
183,Kapan Indonesia punya produk sendiri?,netral,kapan indonesia punya produk sendiri
184,Yakin mau untung tipis,positif,yakin mau untung tipis
185,Yg bensin nya aja belum kebeli...,netral,yg bensin nya aja belum kebeli
186,semua ev akan BYD pada waktunya,netral,semua ev akan byd pada waktunya
187,"salfok sama aditornya carmudi! keren editannya 
:face-blue-wide-eyes:",positif,salfok sama aditornya carmudi keren editannya facebluewideeyes
188,Suzuki klo mobil totalitas banget,positif,suzuki klo mobil totalitas banget
189,interiorny,netral,interiorny
190,Kalau kerenmungkin bisa jd list selanjutnya. Asal g lebih mahal dr mobil china,positif,kalau kerenmungkin bisa jd list selanjutnya asal g lebih mahal dr mobil china
191,Ntar kalau laku harga nya dinaikin sales nya sendri 🤣,negatif,ntar kalau laku harga nya dinaikin sales nya sendri 
192,"Terjangkau sepertinya tapi hanya kalau dibandingkan IONIQ bang.... Tapi saya yakin harganya bakalan di atas 400 juta kalau udah dijual di Indonesia.. kemungkinan besar head to head sama mocin EV-nya Cherry yaitu Omoda EV.. 😅 tapi setidaknya ada kemungkinan masuk ke level pembeli yang ""takut atau ragu beli EV china tapi budget gak sampe beli merek korea"" 😅😁😁🙏",positif,terjangkau sepertinya tapi hanya kalau dibandingkan ioniq bang tapi saya yakin harganya bakalan di atas 400 juta kalau udah dijual di indonesia kemungkinan besar head to head sama mocin evnya cherry yaitu omoda ev  tapi setidaknya ada kemungkinan masuk ke level pembeli yang takut atau ragu beli ev china tapi budget gak sampe beli merek korea 
193,brand jepang tapi ttap build quality beti dengan china,negatif,brand jepang tapi ttap build quality beti dengan china
194,"ah males, klo cuman 2 baris doang.. enakan 3 baris kyk BYD M6",negatif,ah males klo cuman 2 baris doang enakan 3 baris kyk byd m6
195,"Cirikhas Carmudi Indonesia, kalau bikinm judul konten provokatif......",negatif,cirikhas carmudi indonesia kalau bikinm judul konten provokatif
196,masuk indonesia kah?,netral,masuk indonesia kah
197,"suzuki baru kemarin dijepang, update mesin dengan thermal efficiecy 40% ditambah 48V murni (bukan 12v to 48v alias MHEV), hybrid , dan juga BEV platform.
honda itu yang agak aneh emang strateginya yah bakal gini2 aja kalo CEOnya tetap karena terlalu ""main aman""",negatif,suzuki baru kemarin dijepang update mesin dengan thermal efficiecy 40 ditambah 48v murni bukan 12v to 48v alias mhev hybrid  dan juga bev platformhonda itu yang agak aneh emang strateginya yah bakal gini2 aja kalo ceonya tetap karena terlalu main aman
198,"kan ada kata2, lebih baik terlambat dari pada tidak sama sekali.",positif,kan ada kata2 lebih baik terlambat dari pada tidak sama sekali
199,"​ @seogabonotjah6555  Iyalah main aman, mana ada pabrikkan tolol berani bakar uang melihat kondisi negaranya ga baik-baik aja, yen anjlok, dan angka populasi yang menurun disana, mempengaruhi jumlah sdm berkualitas dijepang semakin menipis, kalo misalkan Jepang masih sama sekarang kaya diera 60-70an... dan negara kaya sumber daya alam/sdm mungkin Jepang bisa sangat mudah membalas china, tapi nyatanya sekarang kondisinya udah berubah mau ga mau perusahaan jepang hanya bisa bertahan ditengah krisis melanda dinegaranya...",negatif,seogabonotjah6555 iyalah main aman mana ada pabrikkan tolol berani bakar uang melihat kondisi negaranya ga baikbaik aja yen anjlok dan angka populasi yang menurun disana mempengaruhi jumlah sdm berkualitas dijepang semakin menipis kalo misalkan jepang masih sama sekarang kaya diera 6070an dan negara kaya sumber daya alamsdm mungkin jepang bisa sangat mudah membalas china tapi nyatanya sekarang kondisinya udah berubah mau ga mau perusahaan jepang hanya bisa bertahan ditengah krisis melanda dinegaranya
200,"Jepang ragu, mobil ev diramalkan tidak akan bertahan lama karena sudah mulai ada mobil hidrogen yg lebih efisien dan BBM melimpah.",negatif,jepang ragu mobil ev diramalkan tidak akan bertahan lama karena sudah mulai ada mobil hidrogen yg lebih efisien dan bbm melimpah
201,palingan 1Man,netral,palingan 1man
202,Ternyata masih konsep,negatif,ternyata masih konsep
203,Konsap konsep konsap konsep... kalo masih bikinan prindavan siap² gk laku lagi dan lagi... versi konsep dan versi rilis sering kali beda 180° kalo prindavan yg bikin😂😂😂😂😂😂😂,negatif,konsap konsep konsap konsep kalo masih bikinan prindavan siap gk laku lagi dan lagi versi konsep dan versi rilis sering kali beda 180 kalo prindavan yg bikin
204,"Produk china semakin kesini semakin baik, kualitas top harga bersahabat.",positif,produk china semakin kesini semakin baik kualitas top harga bersahabat
205,Tumben suzuki desainnya bagus..yahh walaupun masih konsep.,positif,tumben suzuki desainnya bagusyahh walaupun masih konsep
206,"8:28 ""Terjangkau bagi standar brand Jepang"" 🗿",positif,828 terjangkau bagi standar brand jepang 
207,"mestinya pakai transmisi at 4 speed supaya mesin lebih kecil, baterai lebih ringan, jarak tempuh tetap jauh.",positif,mestinya pakai transmisi at 4 speed supaya mesin lebih kecil baterai lebih ringan jarak tempuh tetap jauh
208,Mending keluarin Suzuki Fronx,positif,mending keluarin suzuki fronx
209,"lah itu layar dashboardnya aja nutupin kaca depan, mmg sih masih konsep",negatif,lah itu layar dashboardnya aja nutupin kaca depan mmg sih masih konsep
210,Ignis cros🎉,positif,ignis cros
211,Ini beberapa harga om? 1:38,netral,ini beberapa harga om 138
212,"Kelamaan, mobil Tiongkok udah banjir di sini, ini masih konsep2 aja. Padahal Toyota udah mulai produksi dari kemarin2",negatif,kelamaan mobil tiongkok udah banjir di sini ini masih konsep2 aja padahal toyota udah mulai produksi dari kemarin2
213,Bukan mpv ya.. mn bisa lawan m6 byd😂,negatif,bukan mpv ya mn bisa lawan m6 byd
214,"Pesan pertama buat SUZUKI, kalau memang mobil ini mau di jual di Indonesia, siapkan atau tersediakan spare partnya! Jangan kayak Hybridnya, beli Aki buat Hybrid aja perlu indent 2 - 3 bulan buset deh!",negatif,pesan pertama buat suzuki kalau memang mobil ini mau di jual di indonesia siapkan atau tersediakan spare partnya jangan kayak hybridnya beli aki buat hybrid aja perlu indent 2  3 bulan buset deh
215,04:29 susah banget buka pintunya,negatif,0429 susah banget buka pintunya
216,Yang pasti selama infrastruktur dan ekosistem ev di Indonesia belum berkembang belum menarik untuk menggunakan ev sebagai daily driver kecuali buat mereka yang fomo dan punya duit lebih,positif,yang pasti selama infrastruktur dan ekosistem ev di indonesia belum berkembang belum menarik untuk menggunakan ev sebagai daily driver kecuali buat mereka yang fomo dan punya duit lebih
217,"langsung ke 7 seater aja.. ev tembus 600km tapi harga di 350-450jt, dijamin laris krn bisa dipakai mudik.",positif,langsung ke 7 seater aja ev tembus 600km tapi harga di 350450jt dijamin laris krn bisa dipakai mudik
218,"Iterior boleh berubah tapi eksterior jangan. EVX sudah lumayan dapat perhatian karena designnya cukup menarik. Masalah harga, silahkan komparasi dengan mobil produk China yang setera.",positif,iterior boleh berubah tapi eksterior jangan evx sudah lumayan dapat perhatian karena designnya cukup menarik masalah harga silahkan komparasi dengan mobil produk china yang setera
219,"Toyota aja gagal di EV, apalagi pabrikan kecil macam Suzuki. Dulu model Suzuki itu bagus, sempat punya Swift juga. Brand new di tahun 2006. Desain Eropa. Swift yang sekarang, astaga. My next EV will be Chinese Inshallah. BYD Seal.",negatif,toyota aja gagal di ev apalagi pabrikan kecil macam suzuki dulu model suzuki itu bagus sempat punya swift juga brand new di tahun 2006 desain eropa swift yang sekarang astaga my next ev will be chinese inshallah byd seal
220,bused bantai ?? kata2nya min walah,netral,bused bantai  kata2nya min walah
221,"Nanya sendiri, jawab sendiri bang 😢",netral,nanya sendiri jawab sendiri bang 
222, @AANJAY_  anjaaayyyyyy terus gimana dong takut di hujat,netral,aanjay anjaaayyyyyy terus gimana dong takut di hujat
223,nanti sampai kampung repot nge charge dimana,negatif,nanti sampai kampung repot nge charge dimana
224,Byd m6,netral,byd m6
225,orang2 uda pada jualan dia masi bikin konsep...definisi ketinggalan yang sesungguhnya:face-blue-smiling:,negatif,orang2 uda pada jualan dia masi bikin konsepdefinisi ketinggalan yang sesungguhnyafacebluesmiling
226,"brand jepang terlalu banyak concept yang hanya jadi arena pameran, ujung-ujungnya  gak akan dijual di indo. adapun dijual di indo pasti banyak disunat terkait fitur dan bahannya. resiko pasar indo dianak tirikan, giliran brand china masuk dan brand korea mulai berbenah baik akhirnya brand jepang mulai kelimpungan.",negatif,brand jepang terlalu banyak concept yang hanya jadi arena pameran ujungujungnya  gak akan dijual di indo adapun dijual di indo pasti banyak disunat terkait fitur dan bahannya resiko pasar indo dianak tirikan giliran brand china masuk dan brand korea mulai berbenah baik akhirnya brand jepang mulai kelimpungan
227,konsepnya suzuki ama kenyataannya bedanya ya bisa dilihat sendiri lah dari produk2 sebelumnya..,negatif,konsepnya suzuki ama kenyataannya bedanya ya bisa dilihat sendiri lah dari produk2 sebelumnya
228,Bocoran dari lampunya aja dari keliatan aneh,negatif,bocoran dari lampunya aja dari keliatan aneh
229,Yakin banget versi mass produknya pasti jauh dari konsep 😂😂😂,negatif,yakin banget versi mass produknya pasti jauh dari konsep 
230,"Kenapa ga langsung pamerin yang versi Mass Pro nya aja, penggemar suzuki kayak nya emang sudah menunggu produk suzuki yang beda dari versi yang dijual sekarang, seperti ertiga xl 7 grand vitara dengan mesin yang sama.",positif,kenapa ga langsung pamerin yang versi mass pro nya aja penggemar suzuki kayak nya emang sudah menunggu produk suzuki yang beda dari versi yang dijual sekarang seperti ertiga xl 7 grand vitara dengan mesin yang sama
231,"Ya hargai lah, meski concept india.. semoga enggak jad ekspresoo wkwkwkw",positif,ya hargai lah meski concept india semoga enggak jad ekspresoo wkwkwkw
232,Maruti ya yang bikin? tapi kalo liat bentuk konsepnya sih lumayan,positif,maruti ya yang bikin tapi kalo liat bentuk konsepnya sih lumayan
233,Kecil ?,netral,kecil 
234," @ANTI_LGBTQ_5  Yup, Mazda, Suzuki, dan Subaru terbilang kecil dibandingkan pabrikan Jepang lain semacam Toyota dan Honda. Ingat Suzuki Kizashi? Satu satunya Suzuki punya mid size sedan. Itu pun disuntik mati. Padahal bagus banget!!! Lihat reviewnya. Sampai sekarang mereka ngga punya model di mid size sedan, apalagi di flagship.",negatif,antilgbtq5 yup mazda suzuki dan subaru terbilang kecil dibandingkan pabrikan jepang lain semacam toyota dan honda ingat suzuki kizashi satu satunya suzuki punya mid size sedan itu pun disuntik mati padahal bagus banget lihat reviewnya sampai sekarang mereka ngga punya model di mid size sedan apalagi di flagship
235,"Tidak dipungkiri, culture korporasi Jepang itu korup banget
Beda 180 derajat dari kulture masyarakatnya",negatif,tidak dipungkiri culture korporasi jepang itu korup bangetbeda 180 derajat dari kulture masyarakatnya
236,Pasti kemahalan harganya,negatif,pasti kemahalan harganya
237,Masih mending beli Neta v ll,negatif,masih mending beli neta v ll
238,"Karena hal itu jg baru bisa membuat brand jepang ini lbh serius di pasar Indo,selama ini mereka anggap remeh mulu di Indonesia,dpt yg versi disunat semua nya",negatif,karena hal itu jg baru bisa membuat brand jepang ini lbh serius di pasar indoselama ini mereka anggap remeh mulu di indonesiadpt yg versi disunat semua nya
239, @MrAdhiSuryana  tiati bang diserang pemuja negara tersebut ....,negatif,mradhisuryana tiati bang diserang pemuja negara tersebut 
240,Jadi inget Nokia sama blackberry,netral,jadi inget nokia sama blackberry
241," @YakubNg  Fakta, kalau nggak toxic culture mana ada mantan perdana menteri sampai dibunuh warga sipil. Kecuali ada sesuatu yang disembunyikan",negatif,yakubng fakta kalau nggak toxic culture mana ada mantan perdana menteri sampai dibunuh warga sipil kecuali ada sesuatu yang disembunyikan
242,"Iya emang kalo ada ente mau beli? pabrikan jepang juga mikiran cost jual juga biar untung juga, jangan jauh-jauh liat cerry banyak mobil kotor lumutan didepan dealernya ga laku?",positif,iya emang kalo ada ente mau beli pabrikan jepang juga mikiran cost jual juga biar untung juga jangan jauhjauh liat cerry banyak mobil kotor lumutan didepan dealernya ga laku
243,"​ @MrAdhiSuryana  Tapi ente lupa, Jepang itu bukan negara kaya akan sumber daya alam, mereka butuh bahan baku dari china juga..",netral,mradhisuryana tapi ente lupa jepang itu bukan negara kaya akan sumber daya alam mereka butuh bahan baku dari china juga
244,"​ @AbdulLatif-m8x Ketika orang dari negara terbelakang pemuja prabowo gibran bilang ""Pasti kemahalan"" lo tau ga si brow2 jEpang jangan disamain sama ChiNa Tolol, mereka itu dari dulu negaranya miskin sumber daya alam, gak kaya china kaya akan sumber daya alam buat kendaraan, banyak jepang ngambil bahan baku dari china, dan sekarang regulasi dirubah sama china, dan jepang mahal juga modalnya, logika aja mana ada perusahaan ga untung demi menurut kemauan konsumen miskin minta mobil murah spek sultan... otak dipake sdm rendah",negatif,abdullatifm8xketika orang dari negara terbelakang pemuja prabowo gibran bilang pasti kemahalan lo tau ga si brow2 jepang jangan disamain sama china tolol mereka itu dari dulu negaranya miskin sumber daya alam gak kaya china kaya akan sumber daya alam buat kendaraan banyak jepang ngambil bahan baku dari china dan sekarang regulasi dirubah sama china dan jepang mahal juga modalnya logika aja mana ada perusahaan ga untung demi menurut kemauan konsumen miskin minta mobil murah spek sultan otak dipake sdm rendah
245,"Jika Suzuki siap membantai mobil China, maka siap turun harga seharga mobil China",positif,jika suzuki siap membantai mobil china maka siap turun harga seharga mobil china
246,"Ngeri mobilnya ,wah banget ,gak cocok di saya ,saya hanya tukang baso kelililng",positif,ngeri mobilnya wah banget gak cocok di saya saya hanya tukang baso kelililng
247,mobil konsep sijuki keren2 tp pas masuk produksi juelek😂🤣,negatif,mobil konsep sijuki keren2 tp pas masuk produksi juelek
248,"Intinya tunggu aja, beneran kaya gini apa engga 😂",positif,intinya tunggu aja beneran kaya gini apa engga 
249,Hahaha gak akan terealisasi😅,negatif,hahaha gak akan terealisasi
250,"Keren,manteeebbb,
Yg norak cuma Velgnya",positif,kerenmanteeebbbyg norak cuma velgnya
251,👍,positif,
252,sizuki mimpi aja lah. selama kiblatnya ke india,negatif,sizuki mimpi aja lah selama kiblatnya ke india
253,3:06,netral,306
254,Suzuki klo mobil nya laris dihadang ama salesnya dengan menaikan harga... TRAGEDI JIMNY,negatif,suzuki klo mobil nya laris dihadang ama salesnya dengan menaikan harga tragedi jimny
255,N...I...C....E.....!!!!!!!!!,positif,nice
256,Mobil suzuki ev konsep akan siap melibas mobil2 ev China yg sudah berulangkali diupgrade.?,positif,mobil suzuki ev konsep akan siap melibas mobil2 ev china yg sudah berulangkali diupgrade
257,hmm.,netral,hmm
258,"Suzuki itu klo mobil konsepnya cakep bner, tpi klo udh kluar biasanya selera prindavan 😭",positif,suzuki itu klo mobil konsepnya cakep bner tpi klo udh kluar biasanya selera prindavan 
259,Next tukar tambah sama xl 7,positif,next tukar tambah sama xl 7
260,Om bahas jetour x70 plus,netral,om bahas jetour x70 plus
261,"sayang masih konsep, mobil cina sdh banjir...",negatif,sayang masih konsep mobil cina sdh banjir
262,Ahh baru concept rilisnya jauh😂😂😂,negatif,ahh baru concept rilisnya jauh
263,Headunit nya ganggu pandangan banget seperti nya,negatif,headunit nya ganggu pandangan banget seperti nya
264,Kayaknya ini bukan bikinan Suzuki India deh..,positif,kayaknya ini bukan bikinan suzuki india deh
265,maklum indo pajaknya besar bang untuk unit import,netral,maklum indo pajaknya besar bang untuk unit import
266,iya karena pemerintah kita tau sendiri kan condong ke negara mana sekarang 😅,netral,iya karena pemerintah kita tau sendiri kan condong ke negara mana sekarang 
267,Harris Sarah Moore Maria Lopez John,netral,harris sarah moore maria lopez john
268,Good Product for Suzuki Mobil ....Saya penggiat mobil Suzuki...,positif,good product for suzuki mobil saya penggiat mobil suzuki
269,"Eksterior & interiornya keren banget....sangat futuristik,mudah2an tersedia warna ini juga,jangan item putih doang di produksi massal",positif,eksterior  interiornya keren bangetsangat futuristikmudah2an tersedia warna ini jugajangan item putih doang di produksi massal
270,Mobil konsep = php,negatif,mobil konsep  php
271,Kabarnya tahun depan Suzuki bakal luncurin mobil baru & di rakit di indo secara CKD!! Apakah ini?😮,netral,kabarnya tahun depan suzuki bakal luncurin mobil baru  di rakit di indo secara ckd apakah ini
272,Nanti udh jadi harganya di mark up sama salesnya jangan arepin yang banyak dari suzuki,negatif,nanti udh jadi harganya di mark up sama salesnya jangan arepin yang banyak dari suzuki
273,"Kedepannya pasti
CBU Suzuki Maruti INDIA
😂😂😂",negatif,kedepannya pasticbu suzuki maruti india
274,Mantaap otodriver,positif,mantaap otodriver
275,Keren,positif,keren
276,Review fronx bang,netral,review fronx bang
277,dan tidak untuk pasar Indonesia. wkwkwk,netral,dan tidak untuk pasar indonesia wkwkwk
278,"saya berikan apresiasi kepada mas adit, cara dan gaya menyampaikannya makin luwes, jelas, tidak ""serupa"" gaya mas fitra eri (atau itu memang templet di otodriver ya?🤔) lanjutkan dan jadi diri sendiri👍👍",positif,saya berikan apresiasi kepada mas adit cara dan gaya menyampaikannya makin luwes jelas tidak serupa gaya mas fitra eri atau itu memang templet di otodriver ya lanjutkan dan jadi diri sendiri
279,Berharap Fronx masuk,positif,berharap fronx masuk
280,Hybrid Suzuki aja masih yang jadi-jadian apalagi yang full ev? 11-12 sama Daihatsu yang doyan bikin concept doang 😂😂😂,negatif,hybrid suzuki aja masih yang jadijadian apalagi yang full ev 1112 sama daihatsu yang doyan bikin concept doang 
281,Mirip Mtsu XForce,netral,mirip mtsu xforce
282,"Kirain mau launching fronx, malah cma pamer mobil konsep 😅",negatif,kirain mau launching fronx malah cma pamer mobil konsep 
283,Nunggu Jimny EV 😅,netral,nunggu jimny ev 
284,produsen Jepang sepertinya kesulitan dalam hal batre,negatif,produsen jepang sepertinya kesulitan dalam hal batre
285,Rasanya gapercaya suzuki bisa design begini😂,negatif,rasanya gapercaya suzuki bisa design begini
286,Mirip XForce,netral,mirip xforce
287,Nah iya 😢 berharap Fronx yang pake mesin K15C masuk,positif,nah iya  berharap fronx yang pake mesin k15c masuk
288,Martin Frank Perez Robert Allen Lisa,netral,martin frank perez robert allen lisa
289,Lopez Steven Gonzalez Amy White Charles,netral,lopez steven gonzalez amy white charles
290,Brown Betty Brown Karen Hernandez Frank,netral,brown betty brown karen hernandez frank
291,Williams Carol Lewis Patricia Walker Ruth,netral,williams carol lewis patricia walker ruth
292,Martinez Sharon Lopez Jason Moore Jason,netral,martinez sharon lopez jason moore jason
293,Lewis Steven Rodriguez Daniel Williams Frank,netral,lewis steven rodriguez daniel williams frank
294,Walker Paul Davis Sharon Johnson Jose,negatif,walker paul davis sharon johnson jose
295,Harris Charles Clark Sarah Wilson Barbara,negatif,harris charles clark sarah wilson barbara
296,yg dijual di indo palingan disain india 😁,negatif,yg dijual di indo palingan disain india 
297,Produk India Hillsat 😂,negatif,produk india hillsat 
298,"Suzuki EV is the best candidat and cheapest EV in the world, especially LCGC EV version......is the best choice....",positif,suzuki ev is the best candidat and cheapest ev in the world especially lcgc ev versionis the best choice
299,"Kalau masuk Indonesia paling mau ngikut yg di jepang asli pasti mahal minta ampun.. 😂😂 nggak akan bisa bersaing sama brand china.. kalau, pajak barang mewah indo kagak ngotak.. 
Jadi jangan terlalu tinggi ekspetasinya kalau masih concept..",negatif,kalau masuk indonesia paling mau ngikut yg di jepang asli pasti mahal minta ampun  nggak akan bisa bersaing sama brand china kalau pajak barang mewah indo kagak ngotak jadi jangan terlalu tinggi ekspetasinya kalau masih concept
300,"Come On Suzuki, Merk2 lain udh pada jual mobil listrik,  ini kok masi konsep???😁😁😁",negatif,come on suzuki merk2 lain udh pada jual mobil listrik  ini kok masi konsep
301,mirip ferrari purosangue,positif,mirip ferrari purosangue
302,Kayaknya desainer yg dulu udah di pecat 😂,netral,kayaknya desainer yg dulu udah di pecat 
303,"Ayo dong tanya harga jimny lagi, penasaran msh mark up harga jimny gak nih? 😅",netral,ayo dong tanya harga jimny lagi penasaran msh mark up harga jimny gak nih 
304,"TIMESTAMP
0:00 - 8:15 MOCHAMMAD ARIQ ATILLAH",netral,timestamp000  815 mochammad ariq atillah
305,"Cina tanpa byk konsep""an...langsung menggebrak pasar Indonesia dg model"" yg futuristik",positif,cina tanpa byk konsepanlangsung menggebrak pasar indonesia dg model yg futuristik
306,Keren bgt yak 😮,positif,keren bgt yak 
307,Konsep2 eh keluarnya 2 tahun kemudian dengan fitur disunat😂,negatif,konsep2 eh keluarnya 2 tahun kemudian dengan fitur disunat
308,"Suzuki eVX tampil keren banget di GIIAS, kira-kira bakal diterusin engga ya desainnya ke versi produksi?",positif,suzuki evx tampil keren banget di giias kirakira bakal diterusin engga ya desainnya ke versi produksi
309,"suzuki conpet seperti ini
real life nanti vrindavan
😂",negatif,suzuki conpet seperti inireal life nanti vrindavan
310,berawal dari hybrid langsung di surprize ada mobil full listrik ajaa wkwk,positif,berawal dari hybrid langsung di surprize ada mobil full listrik ajaa wkwk
311,"kalo gue punya mobil ini kyknya ngantuk mulu dah bawaannya, karna keliatannya nyaman bgt 🤣",positif,kalo gue punya mobil ini kyknya ngantuk mulu dah bawaannya karna keliatannya nyaman bgt 
312,"anjayy, galak bener nih si evx, desainnya oke, fitur2nya gak kalah saing.",positif,anjayy galak bener nih si evx desainnya oke fitur2nya gak kalah saing
313,Keren mantab👍👍,positif,keren mantab
314,Apik ya...,positif,apik ya
315,Semoga harga di bawah 500jt😅,positif,semoga harga di bawah 500jt
316,Suzuki kebiasaan goreng gorengan…udah banyak orang ilfil…😂😢,negatif,suzuki kebiasaan goreng gorenganudah banyak orang ilfil
317,นกมอบผใทห,netral,
318,"yang penting harga ""bersahabat"" buat customer....",positif,yang penting harga bersahabat buat customer
319,Suzuki Fronx laah masukin indo,netral,suzuki fronx laah masukin indo
320,Biasanya Harganya  suzuki suka bersahabat,positif,biasanya harganya  suzuki suka bersahabat
321,ini kalau konsep car nya udah jadi ini mau jadi lawannya siapa coba komen di bawah👇😊,netral,ini kalau konsep car nya udah jadi ini mau jadi lawannya siapa coba komen di bawah
